City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
rafaela,AR,82.0,38,100,11.01,-31.2503,-61.4867,1668978890
ponta delgada,PT,67.5,88,75,14.97,37.7333,-25.6667,1668978890
bonfim,BR,87.4,56,78,5.64,3.0833,-59.95,1668978891
kulhudhuffushi,MV,78.37,80,85,5.97,6.6221,73.07,1668978891
mahebourg,MU,73.69,78,40,4.61,-20.4081,57.7,1668978891
sandpoint,US,32.04,62,0,4.61,48.2766,-116.5533,1668978892
hambantota,LK,75.43,88,1,5.73,6.1241,81.1185,1668978892
sinnai,IT,56.5,62,20,11.5,39.3042,9.2036,1668978892
hobyo,SO,81.45,74,97,13.85,5.3505,48.5268,1668978893
beachwood,US,26.83,57,75,18.41,41.4645,-81.5087,1668978686
bad essen,DE,32.29,87,100,6.17,52.3167,8.3333,1668978893
tura,IN,60.03,77,100,3.87,25.5198,90.2201,1668978894
pontal do parana,BR,72.7,77,82,6.24,-25.6533,-48.5128,1668978894
chicama,PE,64.94,63,12,10.56,-7.8447,-79.1469,1668978894
dong hoi,VN,74.05,92,99,9.8,17.4833,106.6,1668978895
saint-joseph,RE,71.98,81,32,5.32,-21.3667,55.6167,1668978895
indramayu,ID,80.15,79,99,6.73,-6.3264,108.32,1668978895
bria,CF,71.58,44,36,2.66,6.5423,21.9863,1668978895
luanda,AO,77.88,77,5,5.12,-8.8368,13.2343,1668978896
douglas,US,51.73,27,0,12.66,41.3,-96.167,1668978896
mujiayingzi,CN,30.09,65,4,3.78,42.1167,118.7833,1668978896
ornskoldsvik,SE,29.35,93,100,8.05,63.2909,18.7153,1668978897
hamilton,US,36.23,28,0,8.05,39.1834,-84.5333,1668978811
marsh harbour,BS,77.79,77,66,20.8,26.5412,-77.0636,1668978897
matay,EG,67.3,36,84,4.65,28.419,30.7792,1668978897
deseronto,CA,23.81,78,70,11.25,44.2001,-77.0494,1668978898
gizo,SB,83.37,66,41,10.94,-8.103,156.8419,1668978898
ambilobe,MG,75.83,82,50,1.28,-13.2,49.05,1668978899
namtsy,RU,-30.12,100,51,3.51,62.7161,129.6658,1668978899
kvitok,RU,0.95,97,49,2.89,56.0724,98.4813,1668978899
platteville,US,38.14,48,0,21.85,42.7342,-90.4785,1668978899
fuerte olimpo,PY,100.9,21,45,6.96,-21.0415,-57.8738,1668978900
goderich,CA,29.91,72,100,23.67,43.7501,-81.7165,1668978900
taksimo,RU,-8.14,86,74,2.24,56.3444,114.8794,1668978900
konstantinovka,RU,9.66,84,6,10.13,49.6167,127.9833,1668978901
tateyama,JP,55.09,92,100,20.51,34.9833,139.8667,1668978901
xining,CN,27.57,48,99,1.92,36.6167,101.7667,1668978901
forst,DE,27.86,89,39,5.3,51.7333,14.6333,1668978902
kavieng,PG,82.45,66,90,12.12,-2.5744,150.7967,1668978902
tres arroyos,AR,63.07,43,34,16.04,-38.3739,-60.2798,1668978903
akdepe,TM,49.17,53,95,8.86,42.0551,59.3788,1668978905
zyryanka,RU,-33.29,98,40,5.26,65.75,150.85,1668978905
ereymentau,KZ,4.3,91,20,5.14,51.6199,73.1033,1668978906
gravelbourg,CA,31.98,69,50,15.01,49.8834,-106.5512,1668978906
geraldton,AU,52.21,87,0,8.05,-28.7667,114.6,1668978907
constitucion,CL,64.04,53,0,18.25,-35.3333,-72.4167,1668978907
egvekinot,RU,-15.5,88,64,13.71,66.3167,-179.1667,1668978908
zhangye,CN,34.03,29,100,1.72,38.9342,100.4517,1668978908
vavoua,CI,75.06,75,78,3.27,7.3819,-6.4778,1668978909
kaeo,NZ,67.32,89,100,13.44,-35.1,173.7833,1668978909
cerfontaine,BE,43.45,87,75,12.66,50.17,4.4115,1668978909
vardo,NO,35.58,87,100,8.05,70.3705,31.1107,1668978910
darovskoy,RU,11.79,91,5,1.41,58.77,47.9564,1668978910
san cristobal,VE,76.6,72,64,1.83,7.7669,-72.225,1668978911
diego de almagro,CL,76.68,27,0,11.16,-26.3667,-70.05,1668978911
san luis de la paz,MX,64.62,70,100,9.66,21.3,-100.5167,1668978912
labuhan,ID,78.46,80,100,6.22,-6.8844,112.2051,1668978912
nicolas bravo,MX,79.79,81,100,3.13,18.45,-88.9167,1668978912
buala,SB,83.43,67,93,9.42,-8.145,159.5921,1668978913
kahului,US,82.42,65,40,17.27,20.8947,-156.47,1668978736
sitka,US,48.09,76,100,6.91,57.0531,-135.33,1668978913
chake chake,TZ,77.27,91,84,6.2,-5.2459,39.7666,1668978914
tadine,NC,77.63,80,12,6.13,-21.55,167.8833,1668978914
olinda,BR,80.33,69,40,6.91,-8.0089,-34.8553,1668978915
kiunga,PG,73.53,100,100,0.56,-6.1219,141.2906,1668978915
general pico,AR,75.87,33,10,14.76,-35.6566,-63.7568,1668978915
jacmel,HT,89.44,66,10,3.02,18.2342,-72.5347,1668978916
diffa,NE,74.46,18,100,9.19,13.3154,12.6113,1668978916
pergamino,AR,69.19,77,100,10.27,-33.89,-60.5736,1668978917
komsomolskiy,UZ,39.92,87,64,6.91,40.4272,71.7189,1668978917
pisco,PE,68.05,77,0,5.75,-13.7,-76.2167,1668978917
mangaluru,IN,74.26,78,77,0.0,12.8667,74.8833,1668978918
kanye,BW,72.09,13,99,5.55,-24.9667,25.3327,1668978918
dalby,AU,75.97,35,100,7.94,-27.1833,151.2667,1668978918
tapes,BR,74.12,72,97,16.84,-30.6733,-51.3958,1668978919
sisimiut,GL,24.48,93,100,18.14,66.9395,-53.6735,1668978919
rio cuarto,AR,62.67,81,100,10.65,-33.1307,-64.3499,1668978910
mangrol,IN,73.09,43,0,8.23,21.1167,70.1167,1668978920
matadi,CD,75.85,90,81,3.71,-5.8167,13.45,1668978896
provins,FR,46.36,92,37,12.46,48.5833,3.1667,1668978920
owando,CG,70.54,98,100,2.84,-0.4819,15.8999,1668978920
westport,US,35.58,35,75,14.0,41.1415,-73.3579,1668978921
togur,RU,-10.7,97,100,9.84,58.3631,82.8265,1668978921
phulabani,IN,61.54,52,99,1.77,20.4667,84.2333,1668978921
cabedelo,BR,79.47,71,95,12.01,-6.9811,-34.8339,1668978922
plettenberg bay,ZA,58.21,76,0,2.51,-34.0527,23.3716,1668978922
sinnamary,GF,80.37,78,94,10.85,5.3833,-52.95,1668978923
kiama,AU,67.37,56,44,8.01,-34.6833,150.8667,1668978923
newport,GB,46.94,82,75,4.14,51.5877,-2.9984,1668978901
kieta,PG,82.24,71,69,5.26,-6.2167,155.6333,1668978924
saint-georges,GD,79.2,78,14,13.58,12.0564,-61.7485,1668978768
beloha,MG,70.65,82,100,13.65,-25.1667,45.05,1668978626
san ignacio,BZ,80.17,88,79,1.21,17.1561,-89.0714,1668978924
ilulissat,GL,24.82,68,100,1.14,69.2167,-51.1,1668978925
revda,RU,9.0,81,63,5.75,56.801,59.9303,1668978925
sistranda,NO,28.36,60,0,19.46,63.7256,8.834,1668978925
cherskiy,RU,-15.03,98,100,7.83,68.75,161.3,1668978926
soria,ES,44.11,100,90,5.41,41.6667,-2.6667,1668978926
metu,ET,55.78,96,63,2.89,8.3,35.5833,1668978927
shingu,JP,61.18,89,100,8.84,33.7333,135.9833,1668978927
hostotipaquillo,MX,80.2,37,99,0.11,21.0667,-104.0667,1668978927
kaka,TM,55.24,61,2,1.74,37.3482,59.6143,1668978928
wageningen,NL,41.11,94,75,4.61,51.9667,5.6667,1668978928
porto novo,BJ,80.69,80,55,9.78,6.4965,2.6036,1668978653
san marco in lamis,IT,45.84,78,100,17.36,41.7131,15.6399,1668978928
novytsya,UA,33.33,99,100,2.42,48.9635,24.3354,1668978929
jega,NG,77.25,19,26,7.74,12.2175,4.3792,1668978929
narsaq,GL,25.02,84,100,2.48,60.9167,-46.05,1668978929
yurginskoye,RU,10.51,96,88,5.19,56.8189,67.3921,1668978930
barkhan,PK,53.85,45,0,1.19,29.8977,69.5256,1668978930
cairns,AU,82.35,85,40,3.44,-16.9167,145.7667,1668978931
mindelo,CV,74.75,60,20,19.57,16.8901,-24.9804,1668978933
miyako,JP,51.42,95,100,4.56,39.6367,141.9525,1668978934
miri,MY,78.39,86,100,6.89,4.4148,114.0089,1668978934
coquimbo,CL,64.13,72,40,10.36,-29.9533,-71.3436,1668978934
carmen,MX,78.84,78,100,9.22,18.6333,-91.8333,1668978930
kota belud,MY,77.34,86,100,3.89,6.351,116.4305,1668978935
polson,US,22.48,78,81,2.17,47.6936,-114.1632,1668978935
nova olimpia,BR,85.84,51,60,5.06,-14.7972,-57.2881,1668978935
rio gallegos,AR,62.65,20,0,23.02,-51.6226,-69.2181,1668978936
qidong,CN,59.7,90,88,2.39,31.8128,121.6561,1668978936
khudumelapye,BW,81.95,14,100,8.05,-23.8833,24.75,1668978936
mana,GF,80.38,79,100,11.41,5.6592,-53.7767,1668978937
goundam,ML,81.48,13,63,10.76,16.4145,-3.6708,1668978937
verkhoyansk,RU,-19.71,100,94,2.24,67.5447,133.385,1668978937
northam,GB,50.61,79,28,7.36,51.0333,-4.2167,1668978938
huandacareo,MX,69.75,42,99,1.23,19.9833,-101.2833,1668978938
tuburan,PH,78.89,79,100,1.54,6.6439,122.2736,1668978939
pervomaysk,UA,36.75,100,100,2.95,48.0443,30.8507,1668978939
chumikan,RU,23.16,91,100,12.77,54.7183,135.315,1668978939
passo de camaragibe,BR,78.35,80,78,4.59,-9.2368,-35.4901,1668978939
la peca,PE,86.58,49,46,5.79,-5.6111,-78.435,1668978940
vestmannaeyjar,IS,44.73,76,46,22.68,63.4427,-20.2734,1668978940
rodrigues alves,BR,91.6,61,100,2.35,-7.738,-72.6509,1668978940
linhares,BR,71.62,94,100,3.51,-19.3911,-40.0722,1668978941
shahi,IN,61.83,56,0,4.16,28.55,79.3167,1668978941
tinaquillo,VE,93.27,85,56,1.95,9.9186,-68.3047,1668978941
shenjiamen,CN,60.51,80,0,4.56,29.9576,122.298,1668978942
laramie,US,41.77,38,0,12.66,41.3114,-105.5911,1668978876
santa rosalia,MX,68.43,43,0,10.38,27.3167,-112.2833,1668978942
gushikawa,JP,74.43,81,20,8.05,26.3544,127.8686,1668978942
freeport,US,36.25,33,0,21.85,40.6576,-73.5832,1668978908
vila,PT,52.68,95,100,9.04,42.0304,-8.1588,1668978943
mahon,ES,55.96,82,20,4.61,39.8885,4.2658,1668978943
vilhena,BR,86.22,62,40,4.97,-12.7406,-60.1458,1668978943
kumluca,TR,65.71,74,100,3.56,36.3703,30.2869,1668978944
imbituba,BR,72.18,77,99,19.04,-28.24,-48.6703,1668978944
synya,RU,32.34,98,100,9.42,65.3718,58.0387,1668978944
belyy yar,RU,13.89,51,0,11.18,53.6039,91.3903,1668978944
kalmunai,LK,72.64,87,4,11.14,7.4167,81.8167,1668978945
vanavara,RU,8.15,89,100,12.88,60.34,102.2797,1668978945
marzuq,YE,65.64,49,92,4.05,14.4,46.4667,1668978945
lerwick,GB,46.4,66,100,26.6,60.1545,-1.1494,1668978946
cayhagan,PH,78.33,82,99,3.53,9.6697,122.4256,1668978946
awjilah,LY,67.87,25,100,8.68,29.1081,21.2869,1668978946
shubarkuduk,KZ,33.55,100,100,2.73,49.1447,56.4872,1668978947
hami,CN,34.74,48,62,3.47,42.8,93.45,1668978947
barra do pirai,BR,69.84,80,44,3.09,-22.47,-43.8256,1668978947
omboue,GA,75.34,93,100,5.48,-1.5746,9.2618,1668978948
kavaratti,IN,80.19,56,95,4.7,10.5669,72.642,1668978948
lewistown,US,31.87,68,20,13.8,40.5992,-77.5714,1668978948
rognan,NO,39.34,44,0,9.1,67.0953,15.3878,1668978949
kristiinankaupunki,FI,26.13,89,48,11.43,62.2743,21.376,1668978949
luganville,VU,82.76,78,11,7.63,-15.5333,167.1667,1668978949
merced,US,63.28,53,7,3.24,37.1666,-120.7516,1668978950
lavrentiya,RU,18.03,90,100,13.94,65.5833,-171.0,1668978950
nuuk,GL,22.87,85,100,8.99,64.1835,-51.7216,1668978674
trinidad,BO,96.78,46,40,11.5,-14.8333,-64.9,1668978950
liverpool,GB,47.98,87,75,10.36,53.4106,-2.9779,1668978787
aktau,KZ,52.38,90,100,3.0,43.65,51.2,1668978951
andenes,NO,28.38,80,0,9.22,69.3143,16.1194,1668978951
fukue,JP,63.75,71,30,15.57,32.6881,128.8419,1668978951
mount gambier,AU,45.46,82,95,18.61,-37.8333,140.7667,1668978952
cedar city,US,42.4,36,0,0.0,37.6775,-113.0619,1668978952
iqaluit,CA,6.53,72,75,4.61,63.7506,-68.5145,1668978952
aranos,NA,80.22,18,100,2.39,-24.1333,19.1167,1668978953
nome,US,30.27,80,75,0.0,64.5011,-165.4064,1668978953
