City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
pergamino,AR,-33.89,69.19,77,100,10.27,1668978917
komsomolskiy,UZ,40.4272,39.92,87,64,6.91,1668978917
pisco,PE,-13.7,68.05,77,0,5.75,1668978917
mangaluru,IN,12.8667,74.26,78,77,0.0,1668978918
kanye,BW,-24.9667,72.09,13,99,5.55,1668978918
dalby,AU,-27.1833,75.97,35,100,7.94,1668978918
tapes,BR,-30.6733,74.12,72,97,16.84,1668978919
sisimiut,GL,66.9395,24.48,93,100,18.14,1668978919
rio cuarto,AR,-33.1307,62.67,81,100,10.65,1668978910
mangrol,IN,21.1167,73.09,43,0,8.23,1668978920
matadi,CD,-5.8167,75.85,90,81,3.71,1668978896
provins,FR,48.5833,46.36,92,37,12.46,1668978920
owando,CG,-0.4819,70.54,98,100,2.84,1668978920
westport,US,41.1415,35.58,35,75,14.0,1668978921
togur,RU,58.3631,-10.7,97,100,9.84,1668978921
phulabani,IN,20.4667,61.54,52,99,1.77,1668978921
cabedelo,BR,-6.9811,79.47,71,95,12.01,1668978922
plettenberg bay,ZA,-34.0527,58.21,76,0,2.51,1668978922
sinnamary,GF,5.3833,80.37,78,94,10.85,1668978923
kiama,AU,-34.6833,67.37,56,44,8.01,1668978923
newport,GB,51.5877,46.94,82,75,4.14,1668978901
kieta,PG,-6.2167,82.24,71,69,5.26,1668978924
saint-georges,GD,12.0564,79.2,78,14,13.58,1668978768
beloha,MG,-25.1667,70.65,82,100,13.65,1668978626
san ignacio,BZ,17.1561,80.17,88,79,1.21,1668978924
ilulissat,GL,69.2167,24.82,68,100,1.14,1668978925
revda,RU,56.801,9.0,81,63,5.75,1668978925
sistranda,NO,63.7256,28.36,60,0,19.46,1668978925
cherskiy,RU,68.75,-15.03,98,100,7.83,1668978926
soria,ES,41.6667,44.11,100,90,5.41,1668978926
metu,ET,8.3,55.78,96,63,2.89,1668978927
shingu,JP,33.7333,61.18,89,100,8.84,1668978927
hostotipaquillo,MX,21.0667,80.2,37,99,0.11,1668978927
kaka,TM,37.3482,55.24,61,2,1.74,1668978928
wageningen,NL,51.9667,41.11,94,75,4.61,1668978928
porto novo,BJ,6.4965,80.69,80,55,9.78,1668978653
san marco in lamis,IT,41.7131,45.84,78,100,17.36,1668978928
novytsya,UA,48.9635,33.33,99,100,2.42,1668978929
jega,NG,12.2175,77.25,19,26,7.74,1668978929
narsaq,GL,60.9167,25.02,84,100,2.48,1668978929
yurginskoye,RU,56.8189,10.51,96,88,5.19,1668978930
barkhan,PK,29.8977,53.85,45,0,1.19,1668978930
cairns,AU,-16.9167,82.35,85,40,3.44,1668978931
mindelo,CV,16.8901,74.75,60,20,19.57,1668978933
miyako,JP,39.6367,51.42,95,100,4.56,1668978934
miri,MY,4.4148,78.39,86,100,6.89,1668978934
coquimbo,CL,-29.9533,64.13,72,40,10.36,1668978934
carmen,MX,18.6333,78.84,78,100,9.22,1668978930
kota belud,MY,6.351,77.34,86,100,3.89,1668978935
polson,US,47.6936,22.48,78,81,2.17,1668978935
nova olimpia,BR,-14.7972,85.84,51,60,5.06,1668978935
rio gallegos,AR,-51.6226,62.65,20,0,23.02,1668978936
qidong,CN,31.8128,59.7,90,88,2.39,1668978936
khudumelapye,BW,-23.8833,81.95,14,100,8.05,1668978936
mana,GF,5.6592,80.38,79,100,11.41,1668978937
goundam,ML,16.4145,81.48,13,63,10.76,1668978937
verkhoyansk,RU,67.5447,-19.71,100,94,2.24,1668978937
northam,GB,51.0333,50.61,79,28,7.36,1668978938
huandacareo,MX,19.9833,69.75,42,99,1.23,1668978938
tuburan,PH,6.6439,78.89,79,100,1.54,1668978939
pervomaysk,UA,48.0443,36.75,100,100,2.95,1668978939
chumikan,RU,54.7183,23.16,91,100,12.77,1668978939
passo de camaragibe,BR,-9.2368,78.35,80,78,4.59,1668978939
la peca,PE,-5.6111,86.58,49,46,5.79,1668978940
vestmannaeyjar,IS,63.4427,44.73,76,46,22.68,1668978940
rodrigues alves,BR,-7.738,91.6,61,100,2.35,1668978940
linhares,BR,-19.3911,71.62,94,100,3.51,1668978941
shahi,IN,28.55,61.83,56,0,4.16,1668978941
tinaquillo,VE,9.9186,93.27,85,56,1.95,1668978941
shenjiamen,CN,29.9576,60.51,80,0,4.56,1668978942
laramie,US,41.3114,41.77,38,0,12.66,1668978876
santa rosalia,MX,27.3167,68.43,43,0,10.38,1668978942
gushikawa,JP,26.3544,74.43,81,20,8.05,1668978942
freeport,US,40.6576,36.25,33,0,21.85,1668978908
vila,PT,42.0304,52.68,95,100,9.04,1668978943
mahon,ES,39.8885,55.96,82,20,4.61,1668978943
vilhena,BR,-12.7406,86.22,62,40,4.97,1668978943
kumluca,TR,36.3703,65.71,74,100,3.56,1668978944
imbituba,BR,-28.24,72.18,77,99,19.04,1668978944
synya,RU,65.3718,32.34,98,100,9.42,1668978944
belyy yar,RU,53.6039,13.89,51,0,11.18,1668978944
kalmunai,LK,7.4167,72.64,87,4,11.14,1668978945
vanavara,RU,60.34,8.15,89,100,12.88,1668978945
marzuq,YE,14.4,65.64,49,92,4.05,1668978945
lerwick,GB,60.1545,46.4,66,100,26.6,1668978946
cayhagan,PH,9.6697,78.33,82,99,3.53,1668978946
awjilah,LY,29.1081,67.87,25,100,8.68,1668978946
shubarkuduk,KZ,49.1447,33.55,100,100,2.73,1668978947
hami,CN,42.8,34.74,48,62,3.47,1668978947
barra do pirai,BR,-22.47,69.84,80,44,3.09,1668978947
omboue,GA,-1.5746,75.34,93,100,5.48,1668978948
kavaratti,IN,10.5669,80.19,56,95,4.7,1668978948
lewistown,US,40.5992,31.87,68,20,13.8,1668978948
rognan,NO,67.0953,39.34,44,0,9.1,1668978949
kristiinankaupunki,FI,62.2743,26.13,89,48,11.43,1668978949
luganville,VU,-15.5333,82.76,78,11,7.63,1668978949
merced,US,37.1666,63.28,53,7,3.24,1668978950
lavrentiya,RU,65.5833,18.03,90,100,13.94,1668978950
nuuk,GL,64.1835,22.87,85,100,8.99,1668978674
trinidad,BO,-14.8333,96.78,46,40,11.5,1668978950
liverpool,GB,53.4106,47.98,87,75,10.36,1668978787
aktau,KZ,43.65,52.38,90,100,3.0,1668978951
andenes,NO,69.3143,28.38,80,0,9.22,1668978951
fukue,JP,32.6881,63.75,71,30,15.57,1668978951
mount gambier,AU,-37.8333,45.46,82,95,18.61,1668978952
cedar city,US,37.6775,42.4,36,0,0.0,1668978952
iqaluit,CA,63.7506,6.53,72,75,4.61,1668978952
aranos,NA,-24.1333,80.22,18,100,2.39,1668978953
nome,US,64.5011,30.27,80,75,0.0,1668978953
